"`project_id`","`max_followers`"
"12229395","50"
"12262320","15"
"12274903","158"
"12280393","2"
"12308151","327"
"12313618","50"
"12315617","121"
"12316998","128"
"12317433","2"
"12474524","58"
"12508484","12"
"12509066","431"
"12516628","24"
"12520304","32"
"12526520","8"
"12582238","28"
"12586102","247"
"12589909","16"
"12630000","6"
"12653317","41"
"12670029","684"
"12682828","698"
"12682853","144"
"12719568","278"
"12740796","171"
"12746037","16582"
"12749140","16582"
"12761803","41"
"12798077","16582"
"12807650","9"
"12821674","16582"
"12861561","12"
"12878383","110"
"12967267","1631"
"12998527","2"
"13061306","765"
"13082203","2"
"13097260","156"
"13126326","2"
"13128433","17709"
"13368782","52"
"13398866","19"
"13413696","15"
"13430369","2"
"13480659","590"
"13481226","898"
"13490952","756"
"13509074","12"
"13520780","448"
"13523497","50"
"13536812","16"
"13537757","1"
"13539138","12"
"13541961","3"
"13544235","280"
"13570263","62"
"13585659","13"
"13593152","857"
"13602488","37"
"13615253","15"
"13621454","1"
"13635889","35"
"13636760","14"
"13636819","256"
"13640327","114"
"13655055","2"
"13679102","926"
"13685691","446"
"13714859","1"
"13719308","5"
"13719548","4"
"13735930","96"
"13737011","424"
"13740270","3"
"13747237","3"
"13747894","45"
"13759969","329"
"13778815","35"
"13808342","5"
"13837159","1572"
"13865588","30"
"13867933","9"
"13978039","2"
"14027141","138"
"14057734","7"
"14101318","9"
"14116012","245"
"14210902","244"
"14263163","7"
"14287549","1"
"14328878","36"
"14435272","6"
"14486832","1"
"14505051","47"
"14515342","190"
"14543063","4"
"14627410","12"
"14666817","8"
"14682420","3"
"14698825","158"
"14756103","1"
"14782669","277"
"14806250","1162"
"14846150","1"
"14848865","31"
"14880605","2"
"14897153","97"
"14910241","5"
"14914675","245"
"14922006","48"
"14957066","6"
"14959628","17709"
"14989257","898"
"14995115","7"
"15017277","89"
"15080529","7"
"15134766","11"
"15195328","759"
"15205847","122"
"15228302","6"
"15246185","137"
"15285403","4"
"15363005","13"
"15393494","12"
"15417633","59"
"15426725","1"
"15471020","81"
"15500909","109"
"15509641","19383"
"15525750","143"
"15531805","99"
"15536213","2"
"15536505","40"
"15548976","7455"
"15563546","1"
"15592045","3184"
"15646653","11"
"15708243","1"
"15708458","13"
"15729314","1"
"15743643","6"
"15759579","3"
"15778405","857"
"15793721","1"
"15794603","24"
"15867274","53"
"15962985","905"
"16020916","52"
"16116800","1"
"16154948","46"
"16195282","102"
"16219560","5"
"16224803","4"
"16290623","8"
"16307010","6"
"16363717","5"
"16409333","32"
"16415741","4"
"16428381","45"
"16550843","7"
"16569855","3"
"16622735","330"
"16638704","2"
"16640920","18"
"16691009","6"
"16717734","1"
"16723951","45"
"16730686","1"
"16733587","3"
"16754990","4"
"16770502","17"
"16798228","35"
"16834666","10"
"16837900","107"
"16846494","11"
"16949824","60"
"16988042","71"
"16988139","135"
"17020688","86"
"17021738","9"
"17038695","747"
"17070556","87"
"17134485","2"
"17273246","81"
"17296591","9"
"17322266","1"
"17328893","926"
"17332041","18"
"17466008","952"
"17466721","2"
"17472048","58"
"17479978","6"
"17593904","7"
"17629210","1"
"17646483","1"
"17664209","1309"
"17708574","546"
"17746668","25"
"17753126","406"
"17785086","207"
"17840201","6"
"17865733","185"
"17867788","871"
"17879187","7"
"17921081","4"
"17922358","1"
"17924077","26"
"17941398","99"
"17964103","1"
"17982139","1"
"17982701","1"
"18006157","253"
"18013712","97"
"18026805","5"
"18028838","2"
"18059452","3"
"18059812","5"
"18097224","42"
"18236982","1196"
"18257960","637"
"18258297","1"
"18415473","9"
"18498547","18"
"18507554","2"
"18674058","1655"
"18790667","292"
"18821370","254"
"18822502","5"
"18847237","24"
"18903735","10"
"18937463","46"
"18993586","11"
"19047987","26"
"19085523","241"
"19329970","3"
"19525779","9"
"19552315","1"
"19581764","4"
